Date,Total Snow,Daily Delta,Min,Max,Mean
2017-02-19,355.0,2.0,-7.7,-1.6,-5.45652173913
2017-02-18,353.0,2.0,-11.8,-1.5,-7.86086956522
2012-01-01,251.0,6.0,-8.2,4.5,-3.57391304348
2012-01-02,261.0,10.0,0.3,5.7,4.08260869565
2012-01-03,259.0,-2.0,-1.2,3.1,0.930434782609
2012-01-04,314.0,55.0,0.0,1.3,0.760869565217
2012-01-05,337.0,23.0,-4.5,0.0,-2.10434782609
2012-01-06,337.0,0.0,-5.8,-3.4,-4.42173913043
2012-01-07,335.0,-2.0,-5.9,-0.9,-3.95652173913
2012-01-08,346.0,11.0,-0.1,4.0,2.1
2012-01-09,353.0,7.0,-1.6,3.6,1.28
2019-01-30,377.0,5.0,-2.3,6.1,2.46086956522
2019-01-31,379.0,2.0,1.3,4.8,2.9652173913
2015-12-23,265.0,2.0,-11.4,-6.6,-8.9652173913
2015-12-22,263.0,-1.0,-13.1,-6.0,-9.32608695652
2014-02-28,270.0,-5.0,-11.9,0.0,-5.66086956522
2014-02-25,261.0,0.0,-17.5,-0.1,-11.447826087
2014-02-24,261.0,0.0,-18.6,-9.7,-14.7173913043
2014-02-27,275.0,10.0,-5.4,3.7,-2.11304347826
2014-02-26,265.0,4.0,-13.4,6.9,-7.79130434783
2014-02-21,250.0,-9.0,-18.6,-2.6,-9.98695652174
2014-02-20,259.0,9.0,-6.7,-3.1,-4.68695652174
2014-02-23,261.0,4.0,-18.0,-8.7,-13.7608695652
2014-02-22,257.0,7.0,-15.1,-5.2,-10.5956521739
2015-12-27,274.0,12.0,-4.2,-1.3,-3.30869565217
2016-09-18,0,0,4.2,7.7,5.49565217391
2015-12-26,262.0,2.0,-16.8,-3.4,-9.08260869565
2018-12-08,22.0,6.0,-5.2,1.0,-1.76956521739
2018-12-09,26.0,4.0,-3.2,1.3,-0.313043478261
2018-12-06,17.0,0.0,-14.4,-8.7,-12.6043478261
2018-12-07,16.0,-1.0,-12.7,-3.0,-8.59565217391
2018-12-04,16.0,-1.0,-14.8,-5.1,-11.2086956522
2018-12-05,17.0,1.0,-14.1,-8.6,-11.852173913
2018-12-02,18.0,0.0,-9.5,-5.0,-6.40869565217
2018-12-03,17.0,-1.0,-15.4,-10.9,-12.4913043478
2018-12-01,18.0,0.0,-9.0,-3.7,-6.48260869565
2015-12-16,230.0,-1.0,-15.2,-4.6,-10.2043478261
2018-09-26,2.0,1.0,1.7,15.0,5.84347826087
2018-09-27,3.0,1.0,3.1,12.9,7.08695652174
2012-02-29,608.0,4.0,-11.3,-0.3,-5.97391304348
2012-02-28,604.0,15.0,-11.6,-0.5,-7.13043478261
2012-02-27,589.0,9.0,-19.7,-2.5,-12.847826087
2012-04-02,832.0,4.0,-3.8,2.0,-1.90434782609
2012-02-25,583.0,-4.0,-6.1,-2.5,-4.57391304348
2012-02-24,587.0,32.0,-6.3,-1.3,-4.42608695652
2012-02-23,555.0,-12.0,-8.8,-0.9,-4.31739130435
2012-02-22,567.0,4.0,-3.9,0.5,-2.1347826087
2012-02-21,563.0,0.0,-1.1,1.5,0.613043478261
