date,daily_avg,daily_max,avg_dir
2015-11-03,0.0105790905558,0.0297435897436,0.364930555556
2015-11-04,0.012739992227,0.0314177978884,0.394907407407
2015-11-05,0.0214885347843,0.0439969834087,0.507638888889
2015-11-06,0.0167392149242,0.0670286576169,0.371875
2015-11-07,0.0418888457054,0.13742081448,0.456134259259
2015-11-08,0.0109055577147,0.0414781297134,0.368171296296
2015-11-09,0.0300755335508,0.0707993966817,0.277415458937
2015-11-10,0.0848009044978,0.13742081448,0.455681818182
2015-11-11,0.0672479949122,0.136591251885,0.546717171717
2015-11-12,0.110987174504,0.1307239819,0.479398148148
2015-11-13,0.158262728333,0.161719457014,0.556481481481
2015-11-14,0.0320637388263,0.0653544494721,0.4875
2015-11-15,0.0161951029926,0.0481749622926,0.540972222222
2015-11-16,0.0696346677031,0.110196078431,0.40162037037
