"date","danger_rating","swe_squam","daily_tot_precip_squam","two_day_tot_precip_squam","three_day_tot_precip_squam","swe_nos","daily_tot_precip_nos","two_day_tot_precip_nos","three_day_tot_precip_nos","daily_max_temp_squam","daily_min_temp_squam","daily_mean_temp_squam","two_day_max_temp_squam","two_day_min_temp_squam","two_day_mean_temp_squam","three_day_max_temp_squam","three_day_min_temp_squam","three_day_mean_temp_squam","daily_max_temp_nos","daily_min_temp_nos","daily_mean_temp_nos","two_day_max_temp_nos","two_day_min_temp_nos","two_day_mean_temp_nos","three_day_max_temp_nos","three_day_min_temp_nos","three_day_mean_temp_nos","wind_daily_avg","wind_daily_max","wind_avg_dir","two_day_mean_wind","two_day_max_wind","three_day_mean_wind","three_day_max_wind","two_day_wind_avg_dir","three_day_wind_avg_dir"
2018-01-24,4,0.388612388210673,1.028999714839,1.01068328154848,1.11441059578992,0.575994998382589,-0.893885838624185,0.629787848735978,0.452247823557516,0.1,-3,-1.92916666666667,0.1,-4.5,-2.925,0.1,-4.5,-3.03472222222222,-0.9,-4.1,-2.16666666666666,-0.9,-4.7,-2.95208333333333,-0.9,-5.8,-3.28333333333333,0.101049358725,0.532428355958,0.382523148148,0.0505246793625002,0.532428355958,0.0336831195749997,0.532428355958,0.432870370370499,0.491203703704
2018-01-25,4,0.423985894068154,0.437909764669964,0.891000168053462,0.963730875387011,0.597989290575894,-0.47834416854067,-0.873988432528698,0.250891408353673,0,-7.1,-3.6375,0.1,-7.1,-2.78333333333333,0.1,-7.1,-3.1625,-3,-9.7,-6.24166666666666,-0.9,-9.7,-4.20416666666667,-0.9,-9.7,-4.04861111111111,0.170617955694,0.440422322775,0.480671296296,0.1358336572095,0.532428355958,0.0905557714729997,0.532428355958,0.431597222221999,0.483217592593
2018-01-26,3,0.473115763314654,0.897646392579212,0.811211425723447,1.08427465170934,0.581493571430915,-1.03239972865202,-0.962445860838384,-1.15860349807323,-0.5,-6,-4.52916666666667,0,-7.1,-4.08333333333333,0.1,-7.1,-3.36527777777778,-3.6,-9.5,-6.05416666666666,-3,-9.7,-6.14791666666667,-0.9,-9.7,-4.82083333333333,0.271667314419,0.521870286576,0.399537037037,0.2211426350565,0.521870286576,0.181111542946,0.532428355958,0.440104166666499,0.480671296296
2018-01-27,4,0.504558879632415,0.372233103540072,0.771317054558439,0.782915210903516,0.586992144479241,-0.893885838624185,-1.22781814576744,-1.15860349807323,-0.9,-7.3,-5.36666666666667,-0.5,-7.3,-4.94791666666667,0,-7.3,-4.51111111111111,-6.1,-11.3,-9.52083333333333,-3.6,-11.3,-7.7875,-3,-11.3,-7.27222222222222,0.24290711232,0.434389140271,0.398958333333,0.2572872133695,0.521870286576,0.228397460811,0.521870286576,0.399247685184999,0.480671296296
2018-01-28,4,0.579236280887096,1.75144298726781,1.28994387970354,1.38563409251517,0.641977874962504,1.04530862176555,0.0990432788778569,-0.420296642325805,-1.4,-6.3,-4.12916666666667,-0.9,-7.3,-4.74791666666667,-0.5,-7.3,-4.675,2.1,-12.9,-5.5375,2.1,-12.9,-7.52916666666667,2.1,-12.9,-7.0375,0.0559657986786,0.206636500754,0.420833333333,0.1494364554993,0.434389140271,0.1901800751392,0.521870286576,0.409895833332999,0.420833333333
2018-01-29,4,0.708939135697858,3.59038949890481,3.24476806678891,2.62120779981905,0.834427931653923,3.81558642232232,3.10659584140721,1.92886153505237,0.6,-1.6,-0.583333333333333,0.6,-6.3,-2.35625,0.6,-7.3,-3.35972222222222,2.5,-0.1,1.34583333333334,2.5,-12.9,-2.09583333333333,2.5,-12.9,-4.57083333333333,0.219976680917,0.567119155354,0.586574074074,0.1379712397978,0.567119155354,0.172949863971866,0.567119155354,0.503703703703499,0.586574074074
2018-01-30,3,0.738417057245758,0.240879781280287,2.32719752999374,2.56093591165789,0.834427931653923,-1.03239972865202,1.77973441676191,1.86174272998442,0.4,-4.2,-3.32083333333333,0.6,-4.2,-1.95208333333333,0.6,-6.3,-2.67777777777778,-1.5,-4.7,-3.275,2.5,-4.7,-0.964583333333334,2.5,-12.9,-2.48888888888889,0,0,0.53587962963,0.1099883404585,0.567119155354,0.0919808265318664,0.567119155354,0.561226851851999,0.586574074074
2018-01-31,3,0.742347446785478,-0.612916813408316,-0.226042224566751,1.47604192475691,0.834427931653923,-1.03239972865202,-1.31627557407713,0.854960653965203,-3.1,-6.2,-4.95416666666667,0.4,-6.2,-4.1375,0.6,-6.2,-2.95277777777778,-2.6,-7.8,-5.25,-1.5,-7.8,-4.2625,2.5,-7.8,-2.39305555555556,0.0516906335017,0.22322775264,0.44837962963,0.0258453167508502,0.22322775264,0.0905557714728997,0.567119155354,0.492129629629999,0.586574074074
2018-02-01,3,0.767894978793659,0.109526459020501,-0.305830966896766,-0.121163111513961,0.834427931653923,-1.03239972865202,-1.31627557407713,-1.49419752341297,-1.2,-5.6,-4.3125,-1.2,-6.2,-4.63333333333333,0.4,-6.2,-4.19583333333333,-1.7,-6,-4.225,-1.7,-7.8,-4.7375,-1.5,-7.8,-4.25,0.104158569763,0.177978883861,0.463888888889,0.0779246016323502,0.22322775264,0.0519497344215664,0.22322775264,0.456134259259499,0.53587962963
2018-02-02,3,0.809164068960719,0.634939748059642,0.452162085238378,0.0596525529695341,0.856422223847228,-0.201316388484993,-0.785531004219011,-1.09148469300528,1.8,-3.9,-2.1875,1.8,-5.6,-3.25,1.8,-6.2,-3.81805555555556,3.6,-3,0.937500000000004,3.6,-6,-1.64375,3.6,-7.8,-2.84583333333333,0.223474543335,0.292609351433,0.563888888889,0.163816556549,0.292609351433,0.126441248866566,0.292609351433,0.513888888888999,0.563888888889
2018-02-03,3,0.826850821889459,-0.153180185499069,0.292584600578348,0.270604161533612,0.850923650798901,-0.47834416854067,-0.431701290980264,-0.823009472733492,1.1,-1.9,-0.195833333333333,1.8,-3.9,-1.19166666666667,1.8,-5.6,-2.23194444444445,4.5,-1.6,3.0125,4.5,-3,1.975,4.5,-6,-0.0916666666666672,0.105324523902,0.32730015083,0.425115740741,0.1643995336185,0.32730015083,0.144319212333333,0.32730015083,0.494502314814999,0.563888888889
2018-02-04,2,0.86615471728666,0.569263086929749,0.25269022941334,0.48155577009769,0.938900819572121,1.32233640182123,0.541330420426291,0.31801021342162,1.7,-0.6,0.0208333333333338,1.7,-1.9,-0.0874999999999986,1.8,-3.9,-0.787500000000001,4.2,-9.9,-3.025,4.5,-9.9,-0.00625000000000051,4.5,-9.9,0.308333333333333,0.247570928877,0.333333333333,0.473263888889,0.1764477263895,0.333333333333,0.192123332038,0.333333333333,0.449189814814999,0.563888888889
2018-02-05,2,0.87598069113596,-0.415886830018639,0.09311274475331,-0.000619335191631001,0.894912235185511,-0.893885838624185,0.27595813549723,-0.0175838119181186,0.9,-0.8,0.0791666666666671,1.7,-0.8,0.0500000000000013,1.7,-1.9,-0.0319444444444459,3.8,-8,-2.78333333333333,4.2,-9.9,-2.90416666666667,4.5,-9.9,-0.931944444444445,0.0852206479878,0.15233785822,0.59154040404,0.1663957884324,0.333333333333,0.1460387002556,0.333333333333,0.532402146464499,0.59154040404
2018-02-06,2,0.87598069113596,-0.678593474538209,-0.664880307381834,-0.241706887836292,0.883915089088859,-0.755371948596347,-1.05090328914807,-0.151821422054014,1.3,-3.4,-1.44166666666667,1.3,-3.4,-0.681249999999999,1.7,-3.4,-0.447222222222224,4.2,-8,-4.00833333333333,4.2,-8,-3.39583333333333,4.2,-9.9,-3.27222222222222,0.020209871745,0.0995475113122,0.400810185185,0.0527152598664002,0.15233785822,0.1176671495366,0.333333333333,0.496175294612499,0.59154040404
